Name,Address,Contact Info,Type of Business,type_dc_categories,SSL,Use Code,"Owner Name 
(as listed in https://mytax.dc.gov/_/#10)",Owner Type,Most Recent Sale_year,Most Recent Sale_amt,Most Recent Sale Notes,Land Area,Tax Class,Land Value - 2025,Building Value - 2025,Assessment Value (Total),Tax Relief,
6Co Eatery,1916 Martin Luther King Jr. Ave SE,(202) 808-4294,Restaurant,Food Services,5769- -0869,041 - Store-Small (1 Story),"RUMA, KAWSUR A",Individuals,2022,500000,,"1,393",2 - Commercial,101760,205740,307500,None,
ABG Mart,2216 Martin Luther King Jr. Ave SE,(2020) 627-2711,Convenience Store,Food Services,5791- -0004,042 - Store-Miscellaneous,SUGIL LIMITED LIABILITY COMPANY,,2017,525000,,"2,787",2 - Commercial,171600,424470,596070,None,
Above Standard Cleaning Company,1920 Naylor Rd SE ,(202) 341-8431,Cleaning Service,General Sales/Services Business,,,,,,,,,,,,,,
Anacostia Organics,2022 Martin Luther King Jr. Ave SE,(202) 845-8574,Medical Cannabis Dispensary ,"Regulated Business (funeral home, health spa, auto repair)",5773- -1023,042 - Store-Miscellaneous,J ROBERTS INVESTMENTS LLC,Real Estate Investment Company,2012,330000,,"5,064",2 - Commercial,267380,570450,837830,None,
Best Buffalo Wings and Seafood ,1916 Martin Luther King Jr Ave SE,(202) 525-2208,Restaurant,Food Services,5769- -0869,041 - Store-Small (1 Story),"RUMA, KAWSUR A",Individuals,2022,500000,,"1,393",2 - Commercial,101760,205740,307500,"$307,500.00 ",None
Busboys and Poets,2004 Martin Luther King Jr Ave SE,,Restaurant,Food Services,5773- -1024,049 - Commercial-Retail (Miscellaneous),FAR SOUTHEAST FAMILY STRENGTHENING COLLABORATIVE,Nonprofit,,,,"11,473",2 - Commercial,463050,1707210,2170260,None,
Caribbean Citations,1412 Marion Barry Ave SE,"(202) 355-0919
caribbeancitations@gmail.com",Restaurant,Food Services,"
5605- -0822",041 - Store-Small (1 Story),"NIKOLOW, DAVID",Individuals,2003,115000,,"2,716",2 - Commercial,167390,298650,466040,None,
Central Pharmacy Inc,2202 Martin Luther King Jr. Ave SE,(202) 678-6010,Pharmacy,Health Services,5791- -0011,042 - Store-Miscellaneous,"NELSON, DELMUS
NELSON, DELMUS J",Individuals,2024,,"Sales Code:
Buyer = Seller
Sales Type:
Improved",,,,,,,
Charnice Milton Community Bookstore,1918 Martin Luther King Jr. Ave SE,(888) 772-7448,Bookstore,General Sales/Services Business,5769- -0851,041 - Store-Small (1 Story),CHECK IT ENTERPRISES LLC,,2022,447120,,"1,900",2 - Commercial,124530,533410,657940,None,
Community Wellness Ventures ,1930 Martin Luther King Jr Ave SE,,Health Services,Health Services,5769- -0039,049 - Commercial-Retail (Miscellaneous),Q REALTY HOLDINGS LLC,Real Estate Investment Company,2000,,,"2,251",2 - Commercial,139610,192860,332470,None,
DC Pain & Rehab Center,2041 Martin Luther King Jr Ave SE,Dr. Nelsey (202) 610-0260/clergebooks@gmail.com ,Health Services,Health Services,5772- -1019,052 - Commercial-Office (Large),ANACOSTIA PROFESSIONAL BUILDING REVOCABLE TRUST,,2007,,,"50,864",2 - Commercial,4708480,16722040,21430520,None,
DCity Smokehouse,1301 Marion Barry Ave SE,(202) 222-0201,Restaurant,Food Services,5768- -0818,041 - Store-Small (1 Story),1301 GOOD HOPE ROAD LLC,,2015,1200000,,"12,400",2 - Commercial,500460,1123170,1623630,None,
Fifth of March DC,1348 Good Hope Rd SE,(202) 378-7020,Design Studio,General Sales/Services Business,5602- -0805,041 - Store-Small (1 Story),ASSET LENDING CORPORATION,Real Estate Investment Company,,,,"2,917",2 - Commercial,179280,403260,582540,None,
Frazier Mason Funeral Home,1661 Marion Barry Ave SE,,Funeral Home,"Regulated Business (funeral home, health spa, auto repair)",5765- -0893,089 - Special Purpose (Miscellaneous),LACROIX PROPERTIES LLC,,2014,1393500,,"5,368",2 - Commercial,273930,1635310,1909240,None,
Garden Supply / Good Hope Hydroponics,1113 Marion Barry Ave SE,,Garden Supply,General Sales/Services Business,5770- -0839,041 - Store-Small (1 Story),"1113 GOOD HOPE ROAD SE LLC
MLK GATEWAY PHASE II LAND LLC","Real Estate Investment Company, Government - DC",,,,"1,750",2 - Commercial,110140,148500,258640,None,
Get Strong Fitness,"2208 Martin Luther King Jr Ave SE, Washington, DC 20020",information page on website,Gym,"Regulated Business (funeral home, health spa, auto repair)",5791- -0819,042 - Store-Miscellaneous,PROJECT CREATE,Other Business = Owner,2020,1400000,,"2,714",2 - Commercial,167260,1140930,1308190,None,
